breast_variant_human_mammary_epithelial_cells_vhmec	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd14_primary_cells	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd14_primary_cells	10	0.3432071	0.1868596	0.1805498	0.2019183	0.189723	0.095865	0.239579	0.2160618	0.2101247	0.160652	0.202381	0.3098073	0.2013523	0.1922529	0.174902	0.166907	-0.0186921	-0.01392093	-0.0197955	-0.019854	-0.016895	-0.020141	-0.014804	-0.008825	-0.00653	0.123761	0.132034	0.118909
cd14_primary_cells	20	0.3185391	0.2471838	0.2262219	0.234849	0.228472	0.20239	0.2443865	0.1519928	0.2865066	0.271031	0.247292	0.3384444	0.2034187	0.2424681	0.210016	0.262181	-0.01446538	-0.009377578	-0.01415698	-0.000837	-0.004813	-0.007177	-0.008183	-0.000444	0.004176	0.104185	0.070645	0.050315
cd14_primary_cells	30	0.298966	0.1552838	0.2377633	0.2374863	0.250943	0.236493	0.2280791	0.1688604	0.2292823	0.274357	0.157956	0.2753868	0.2305488	0.2600442	0.266105	0.305311	-0.008170879	-0.005591709	-0.005966969	0.000307	-0.004206	0.005971	0.000627	0.00394	-0.001608	-0.004489	0.039215	0.046405
cd14_primary_cells	40	0.2845699	0.1994777	0.2476682	0.2120535	0.230976	0.155225	0.2035772	0.1548912	0.1967938	0.209141	0.10604	0.2345658	0.2636725	0.2465278	0.290817	0.192556	-0.009406025	-0.003075868	-0.002180466	0.009847	0.00377	0.00458	0.005032	0.010593	0.004041	0.011379	0.011523	0.04385
cd14_primary_cells	50	0.254854	0.2279833	0.2307318	0.2221258	0.204447	0.14967	0.2006848	0.1859206	0.14216	0.236931	0.119468	0.2312873	0.233034	0.2147449	0.198654	0.169421	-0.005994095	-0.007943793	-0.006344631	0.012782	-0.001489	0.007886	0.009707	0.005503	0.009842	-0.008349	0.017133	0.043809
cd14_primary_cells	60	0.2398265	0.1609464	0.218782	0.1929642	0.201646	0.114455	0.1772649	0.1543045	0.1575155	0.168768	0.172606	0.2114709	0.2144304	0.2141826	0.202424	0.18004	0.0006140859	-0.002775039	-0.004788982	0.012524	-0.001448	0.00935	0.011903	-0.001904	0.00655	-0.003999	0.013045	0.030484
cd14_primary_cells	70	0.2198327	0.1666978	0.180306	0.180032	0.161574	0.06211	0.1755318	0.1341884	0.1203154	0.152731	0.115544	0.1408162	0.1705007	0.1783324	0.199297	0.142149	-0.008126908	-0.002085304	-0.006408062	0.013484	0.001296	0.009547	0.00759	0.004863	0.005144	-0.00193	0.017503	0.01783
cd14_primary_cells	80	0.1831783	0.1401399	0.1988692	0.1375097	0.179372	0.108228	0.1189075	0.1034847	0.1416658	0.15093	0.104374	0.1306848	0.1531866	0.1213852	0.141023	0.090824	0.0001004887	-0.003544042	-0.002339046	0.010133	0.003265	0.006792	0.01032	0.005933	0.012936	-0.002955	0.018599	0.025582
cd14_primary_cells	90	0.1861504	0.1243249	0.1133423	0.1428413	0.088549	0.117047	0.1202213	0.1022755	0.09942087	0.144646	0.10199	0.1141443	0.1266171	0.1378942	0.110784	0.112128	-0.00227352	-0.002161686	-0.003357365	0.009932	0.002952	0.012499	0.003906	0.007817	0.011289	0.003106	0.010758	0.021239
cd14_primary_cells	100	0.1733314	0.1199453	0.130619	0.1024315	0.11513	0.082768	0.09711524	0.1156695	0.09451275	0.123438	0.084849	0.1089118	0.1155639	0.1374019	0.126622	0.095357	-0.002623211	-0.003954094	-0.003630969	0.010802	0.00608	0.010417	0.007198	0.005783	0.009988	0.001244	0.003719	0.008892
cd19	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd19	10	0.293567	0.119805	0.140651	0.076471	0.117341	0.136641	0.113823	0.107174	0.171101	0.113658	0.180796	0.166814	0.149368	0.148945	0.11576	0.128468	-0.059813	-0.055626	-0.055796	0.009675	0.008508	0.010686	0.009864	0.010498	0.010722	0.007356	0.003989	0.003038
cd19	20	0.310534	0.206735	0.172353	0.216232	0.158268	0.216255	0.215848	0.227289	0.219555	0.23623	0.229576	0.19492	0.214018	0.242734	0.188712	0.217391	-0.053708	-0.055486	-0.054472	0.006323	0.007173	0.010418	0.006817	0.009107	0.007243	0.007822	0.008548	0.001949
cd19	30	0.312979	0.232353	0.23337	0.226512	0.216719	0.224728	0.264753	0.252217	0.248962	0.22971	0.256817	0.239483	0.255672	0.25754	0.260285	0.222707	-0.054179	-0.052667	-0.042867	0.005928	0.00559	0.005847	0.004026	0.007561	0.004269	0.00534	0.008341	0.009155
cd19	40	0.291993	0.196364	0.234355	0.227503	0.221792	0.21832	0.23883	0.230078	0.243393	0.233479	0.237242	0.248564	0.251862	0.255369	0.245704	0.237638	-0.037571	-0.035263	-0.039696	0.00417	0.005571	0.006043	0.003161	0.004011	0.004359	0.004193	0.00817	0.003988
cd19	50	0.28636	0.200975	0.222651	0.216949	0.210648	0.186405	0.225494	0.211743	0.218595	0.210154	0.20285	0.205044	0.213065	0.213853	0.232374	0.209973	-0.038132	-0.034365	-0.033619	0.003666	0.003345	0.006354	0.002944	0.004132	0.002607	0.003245	0.008336	0.006816
cd19	60	0.275233	0.193021	0.153562	0.217408	0.194857	0.171724	0.175521	0.192657	0.199101	0.195727	0.188939	0.17549	0.191417	0.198899	0.214738	0.199335	-0.033035	-0.032256	-0.034258	0.002931	0.002798	0.00499	0.002858	0.003919	0.003654	0.003294	0.007875	0.006606
cd19	70	0.24127	0.150588	0.162197	0.175363	0.183878	0.149621	0.185288	0.157845	0.169792	0.182605	0.164916	0.179945	0.142786	0.146934	0.149321	0.150349	-0.030036	-0.031884	-0.025637	0.003326	0.001874	0.003917	0.002117	0.004207	0.002999	0.001946	0.007421	0.005649
cd19	80	0.232965	0.126782	0.124784	0.163174	0.170465	0.13844	0.145515	0.114879	0.160019	0.169216	0.116247	0.158428	0.158076	0.127434	0.124681	0.104135	-0.016717	-0.022544	-0.029688	0.002638	0.002209	0.003023	0.001295	0.00386	0.002342	0.00203	0.007631	0.006235
cd19	90	0.202849	0.121657	0.137947	0.115493	0.162483	0.089513	0.141504	0.158038	0.114361	0.1134	0.147747	0.136235	0.128615	0.126347	0.161592	0.10411	-0.028903	-0.023476	-0.028418	0.00173	0.002495	0.002988	0.001365	0.00383	0.002562	0.001677	0.006957	0.005553
cd19	100	0.193439	0.101347	0.111039	0.101254	0.127001	0.090576	0.089679	0.136615	0.098809	0.116331	0.103879	0.108747	0.131161	0.108409	0.104471	0.099935	-0.014784	-0.02904	-0.021277	0.001399	0.001401	0.002243	0.000945	0.003642	0.003126	0.001004	0.005673	0.006426
cd34_primary_cells	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd34_primary_cells	10	0.162673	-0.094574	-0.092832	0.04287	0.038817	0.041664	0.025004	-0.006984	0.030006	0.018166	0.048528	0.001436	0.045124	0.031138	0.057536	0.002828	-0.081112	-0.081112	-0.081112	-0.010397	-0.008017	-0.005557	-0.016066	-0.011059	-0.007851	0.003226	-0.006266	-0.005833
cd34_primary_cells	20	0.146004	0.011766	0.026745	0.018924	0.050941	0.014925	0.025174	0.045311	0.042365	0.036428	0.028408	-0.009576	0.0303	0.010991	0.048544	-0.02112	-0.075564	-0.066906	-0.073255	-0.004686	-0.006075	-0.005532	-0.009794	-0.006633	-0.000549	-0.000188	-0.009398	-0.007245
cd34_primary_cells	30	0.140926	0.046164	0.03465	0.02336	0.063732	0.031768	0.056103	0.028272	0.04188	0.047552	0.039478	0.035031	0.045524	0.055554	0.056991	0.021107	-0.058066	-0.049234	-0.061863	-0.002953	-0.006887	-0.003225	-0.008773	-0.007365	-0.001651	0.004127	-0.005019	-0.007263
cd34_primary_cells	40	0.134898	0.041502	0.041439	0.02969	0.047252	0.042615	0.058576	0.035434	0.034725	0.041627	0.024654	0.033767	0.048319	0.063692	0.06216	0.031903	-0.024567	-0.034847	-0.031629	-0.001359	-0.005656	-0.001681	-0.005881	-0.004907	-0.001083	-0.002871	-0.003101	-0.002586
cd34_primary_cells	50	0.12809	0.043419	0.045186	0.020495	0.059108	0.020674	0.040029	0.049329	0.040132	0.043397	0.029419	0.025177	0.034644	0.038296	0.070447	0.012863	-0.018584	-0.019932	-0.032713	-0.00297	-0.005065	-0.003147	-0.003664	-0.003807	-0.001675	-0.002054	-0.00191	-0.00492
cd34_primary_cells	60	0.118885	0.025455	0.029857	0.013523	0.054923	0.024459	0.02952	0.046168	0.044154	0.03581	0.032064	0.042755	0.023271	0.034861	0.054845	0.017563	-0.017775	-0.016102	-0.019268	-0.001476	-0.003123	-0.001978	-0.003124	-0.001924	0.00022	0.000937	-0.003499	-0.006048
cd34_primary_cells	70	0.117173	0.010549	0.034064	0.029686	0.034761	0.018743	0.01745	0.02874	0.020915	0.037727	0.013711	0.02715	0.027153	0.034577	0.044397	0.012415	-0.016832	-0.016508	-0.017716	-0.001972	-0.004222	-0.002363	-0.003254	-0.002442	0.000338	0.000892	-0.002	-0.002493
cd34_primary_cells	80	0.111715	0.016644	0.018776	0.022838	0.035076	0.018028	0.025472	0.024234	0.005002	0.024845	0.016396	0.020156	0.022112	0.024838	0.039369	0.021038	-0.01866	-0.0117	-0.016971	-0.00173	-0.001655	-0.002141	-0.003134	-0.00271	1.9e-05	-0.00191	-0.00119	-0.002171
cd34_primary_cells	90	0.106642	0.019838	0.025093	0.017454	0.03323	0.020682	0.010336	0.021513	0.010686	0.025998	0.003162	0.029421	0.0231	0.025319	0.033935	0.010557	-0.010751	-0.018096	-0.013721	-0.002291	-0.001786	-0.000942	-0.004787	-0.00204	-0.000382	-0.001614	-0.000694	-0.000305
cd34_primary_cells	100	0.103846	0.008657	0.02046	0.010016	0.021286	0.016314	0.008603	0.019671	0.015048	0.02378	0.006524	0.019836	0.005112	0.015937	0.032451	0.011314	-0.009783	-0.010131	-0.012494	-0.002298	-0.00164	-0.001544	-0.00308	-0.00234	-0.000226	-0.002183	-0.002767	-0.002014
cd3_primary_cells	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd3_primary_cells	10	0.303525	0.100019	0.120794	0.150965	0.110017	0.086495	0.14696	0.119334	0.135047	0.103051	0.090011	0.206767	0.158879	0.104637	0.126313	0.171405	-0.016831	-0.013164	-0.009497	-0.001611	-0.001957	-0.002311	-0.001249	-0.001529	-0.001713	-0.002383	-0.002753	-0.001384
cd3_primary_cells	20	0.309762	0.164512	0.237291	0.197983	0.169739	0.146397	0.239642	0.186467	0.165687	0.204152	0.155456	0.224266	0.185399	0.203193	0.216662	0.217992	-0.016751	-0.016938	-0.018889	-0.001195	-0.002246	-0.002216	-0.001841	-0.00157	-0.001168	-0.00207	-0.002222	-0.002109
cd3_primary_cells	30	0.297807	0.192759	0.216563	0.194391	0.157675	0.179144	0.203674	0.220989	0.200048	0.209462	0.196354	0.23034	0.221707	0.216404	0.189507	0.218417	-0.017237	-0.016317	-0.016017	-0.001327	-0.001539	-0.001835	-0.001342	-0.002106	-0.002188	-0.001	-0.001862	-0.000347
cd3_primary_cells	40	0.280641	0.205167	0.206756	0.199817	0.166806	0.155927	0.218228	0.219236	0.212719	0.200591	0.177449	0.212474	0.219329	0.230476	0.219227	0.219883	-0.014777	-0.015008	-0.014566	-0.001522	-0.002247	-0.001979	-0.001764	-0.001847	-0.002074	-0.001674	-0.001413	-0.001614
cd3_primary_cells	50	0.260342	0.209681	0.151211	0.186726	0.175581	0.183763	0.207895	0.21359	0.207333	0.192836	0.208374	0.211753	0.204433	0.203088	0.196406	0.187767	-0.017493	-0.016536	-0.015588	-0.001517	-0.001845	-0.000929	-0.002317	-0.001806	-0.00151	-0.001736	-0.001018	-0.001491
cd3_primary_cells	60	0.216351	0.171246	0.195732	0.168319	0.174011	0.144087	0.189434	0.206005	0.16491	0.197274	0.13373	0.202543	0.184674	0.192809	0.200209	0.141187	-0.016107	-0.012749	-0.014725	-0.001979	-0.001994	-0.001337	-0.001978	-0.00161	-0.001282	-0.001511	-0.001008	-0.001495
cd3_primary_cells	70	0.20876	0.124672	0.143259	0.178393	0.154846	0.171922	0.168838	0.130803	0.166912	0.186933	0.115142	0.158267	0.161819	0.166386	0.195678	0.154281	-0.013582	-0.01459	-0.015509	-0.002122	-0.001968	-0.001373	-0.001643	-0.001733	-0.000989	-0.001123	-0.0012	-0.00085
cd3_primary_cells	80	0.194755	0.111574	0.145964	0.112022	0.146975	0.118918	0.131376	0.15401	0.16475	0.14961	0.096176	0.162622	0.10354	0.176937	0.167375	0.116524	-0.013972	-0.013251	-0.012862	-0.002004	-0.001769	-0.001451	-0.001708	-0.00183	-0.001407	-0.001266	-0.001085	-0.001589
cd3_primary_cells	90	0.178455	0.101316	0.104409	0.122591	0.13387	0.097833	0.136982	0.161472	0.145852	0.150478	0.094764	0.097716	0.15098	0.148878	0.117177	0.106047	-0.013962	-0.014746	-0.013381	-0.001717	-0.001956	-0.001308	-0.001589	-0.001485	-0.00179	-0.001446	-0.001087	-0.001716
cd3_primary_cells	100	0.175004	0.087849	0.0874	0.147179	0.130353	0.103528	0.087661	0.087747	0.117871	0.146686	0.085379	0.121885	0.098846	0.141942	0.144399	0.093684	-0.013271	-0.013208	-0.012994	-0.001906	-0.001605	-0.001678	-0.001593	-0.001558	-0.001656	-0.001495	-0.001654	-0.001324
cd4_primary_cells	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd4_primary_cells	10	0.246718	0.136174	0.098626	0.092831	0.115761	0.126933	0.136017	0.074338	0.088201	0.145072	0.12359	0.161686	0.151841	0.12987	0.086717	0.132467	-0.011536	-0.013969	-0.022416	0.002394	0.00244	0.002068	0.001868	0.0026	0.003638	0.002762	-0.000225	0.003195
cd4_primary_cells	20	0.251628	0.135369	0.147583	0.163126	0.170796	0.154596	0.149461	0.141444	0.15792	0.185992	0.172407	0.183661	0.190208	0.180282	0.119428	0.175275	-0.02003	-0.019004	-0.0161	-0.000108	0.001333	0.001794	5.4e-05	0.001433	0.000519	0.000969	0.002048	0.002523
cd4_primary_cells	30	0.249556	0.13438	0.172504	0.150022	0.154661	0.159191	0.183449	0.183827	0.184092	0.198684	0.171261	0.191512	0.197815	0.196249	0.154796	0.148082	-0.021699	-0.024233	-0.025323	0.000516	0.000388	0.002055	-2.8e-05	4.7e-05	0.000994	0.001454	0.002434	0.001463
cd4_primary_cells	40	0.246727	0.153449	0.151165	0.119999	0.167767	0.158155	0.161254	0.140192	0.176378	0.1936	0.155851	0.170133	0.17271	0.174141	0.150052	0.191339	-0.025336	-0.023099	-0.024838	-6e-06	-0.000256	0.001605	-9.4e-05	0.000808	0.000798	0.001968	0.001403	0.000455
cd4_primary_cells	50	0.234401	0.135279	0.147251	0.148176	0.162429	0.13395	0.14876	0.13761	0.13942	0.18279	0.145001	0.146542	0.166081	0.16109	0.173445	0.152911	-0.023248	-0.023306	-0.022901	0.000139	-0.000455	0.001097	-0.000534	0.00028	8.4e-05	0.002079	0.002047	0.000402
cd4_primary_cells	60	0.230122	0.125477	0.110121	0.146471	0.148251	0.149235	0.146346	0.133471	0.126478	0.159136	0.137259	0.13378	0.138407	0.146167	0.138623	0.146342	-0.025272	-0.023264	-0.022201	-0.000486	-0.000263	0.000512	-0.000638	-0.000494	0.000545	0.001209	0.001035	0.000105
cd4_primary_cells	70	0.217682	0.126571	0.118945	0.127279	0.137171	0.125743	0.115442	0.100715	0.130756	0.128287	0.112393	0.125127	0.144984	0.127881	0.141648	0.131358	-0.021543	-0.020982	-0.020792	-0.000592	-0.000543	0.001041	-0.000583	-0.000532	0.000216	0.000747	0.000857	-0.000798
cd4_primary_cells	80	0.203329	0.110308	0.107469	0.115869	0.115319	0.103888	0.103177	0.109552	0.104434	0.128972	0.103089	0.110637	0.113315	0.110979	0.11787	0.114761	-0.021199	-0.023483	-0.025033	-0.000332	-0.000202	-0.00023	-0.001054	-0.000513	0.000415	0.000902	0.000969	-0.000428
cd4_primary_cells	90	0.192762	0.112568	0.088201	0.103018	0.103214	0.102062	0.093554	0.080124	0.087694	0.11159	0.080694	0.1087	0.109948	0.086435	0.114277	0.088249	-0.011678	-0.020934	-0.022571	-0.000855	-0.000224	-8.7e-05	-0.000627	-0.000613	4.3e-05	0.001262	-4.7e-05	-0.0003
cd4_primary_cells	100	0.18118	0.0833	0.071977	0.092319	0.100535	0.090803	0.087111	0.07416	0.096661	0.090744	0.096346	0.096898	0.075835	0.08573	0.099661	0.088158	-0.02207	-0.023485	-0.022555	-0.000629	-0.000573	-0.000326	-0.000956	-0.000828	-0.000146	0.00081	-1.7e-05	0.000148
cd56_primary_cells	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd56_primary_cells	10	0.360495	0.211159	0.212769	0.214413	0.182743	0.231198	0.175595	0.204509	0.232701	0.19139	0.250433	0.254435	0.225571	0.225541	0.190405	0.230285	0.000803	-0.00623	0.007391	0.001008	0.000859	-0.000428	-0.000963	0.001088	0.00071	-0.001652	0.001231	0.00032
cd56_primary_cells	20	0.3663	0.280715	0.249713	0.247935	0.271831	0.298462	0.216275	0.25296	0.317203	0.304131	0.314384	0.32736	0.315105	0.309893	0.2614	0.320852	-0.00477	-0.005322	0.000274	-0.000372	-0.000677	-0.000501	-0.002166	-0.000329	-0.000198	-0.000654	-0.00019	-0.000574
cd56_primary_cells	30	0.359395	0.306948	0.312462	0.26955	0.315349	0.316038	0.304266	0.306369	0.32674	0.3211	0.321454	0.32344	0.317123	0.315756	0.318812	0.329305	0.002824	-0.001981	-0.002375	-0.000479	-0.00067	-0.000896	-0.001994	-0.000982	-0.000996	-0.000972	-0.000369	-0.000856
cd56_primary_cells	40	0.351706	0.285142	0.286693	0.262683	0.30569	0.309066	0.264354	0.302116	0.318017	0.323043	0.305658	0.257834	0.314917	0.29751	0.311866	0.323108	-1.9e-05	1.6e-05	0.00095	-0.001006	-0.000167	-0.000893	-0.001963	-0.000126	-0.000894	-0.001041	-0.001136	-0.001455
cd56_primary_cells	50	0.339781	0.26191	0.274376	0.254324	0.293028	0.25172	0.281847	0.289009	0.286331	0.281439	0.256826	0.264865	0.267852	0.295108	0.295547	0.289827	-0.000971	0.000877	0.00194	-0.000568	-0.000287	-0.000893	-0.002307	-0.001161	-0.000838	-0.00112	-0.000193	-0.001844
cd56_primary_cells	60	0.331017	0.238866	0.226421	0.231972	0.220383	0.222227	0.220533	0.259746	0.239173	0.288444	0.240664	0.274757	0.268097	0.273681	0.233495	0.280565	0.001648	0.001651	0.000754	-0.000944	-0.000505	5.7e-05	-0.001842	-0.000584	-0.001037	-0.001806	-0.001265	-0.000434
cd56_primary_cells	70	0.278193	0.202509	0.239131	0.220206	0.210996	0.204616	0.246683	0.247912	0.221859	0.234605	0.215531	0.212671	0.213264	0.232184	0.239697	0.244044	0.001441	-0.002504	0.004931	-0.000769	-3.1e-05	-0.000624	-0.002091	-0.000861	-0.000854	-0.002132	-0.00165	-0.001011
cd56_primary_cells	80	0.268864	0.166359	0.195619	0.203975	0.184595	0.192218	0.18242	0.228736	0.205612	0.192036	0.173824	0.172745	0.17606	0.212471	0.242223	0.188009	-0.001379	0.002304	0.002119	-0.000615	-0.000922	-0.000611	-0.0017	-0.001505	-0.000928	-0.001269	-0.000724	0.000816
