breast_variant_human_mammary_epithelial_cells_vhmec	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d

cd14_primary_cells	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd14_primary_cells	10	-0.401372	-0.305601	-0.296713	-0.270573	-0.193193	-0.293827	-0.298368	-0.307231	-0.236509	-0.201509	-0.152778	-0.260511	-0.247811	-0.17879	-0.17167	-0.282023	-0.110134	-0.135419	-0.096441	0.143613	0.098648	0.13961	0.151137	0.144118	0.130743	-0.020745	-0.018909	-0.03243
cd14_primary_cells	20	-0.365866	-0.309475	-0.294582	-0.36367	-0.423956	-0.32237	-0.372985	-0.325914	-0.484367	-0.354381	-0.386112	-0.359841	-0.421399	-0.375993	-0.401569	-0.404386	-0.112282	-0.101554	-0.14748	0.045918	0.053706	0.038176	0.056845	0.04607	0.044712	-0.089999	-0.078817	-0.061453
cd14_primary_cells	30	-0.434698	-0.405658	-0.346618	-0.571377	-0.454664	-0.337048	-0.403154	-0.311974	-0.667873	-0.686616	-0.448118	-0.489061	-0.414036	-0.404706	-0.629176	-0.435033	-0.18529	-0.145849	-0.191818	0.009405	0.030898	0.034067	0.031802	0.013607	0.010541	-0.111361	-0.112459	-0.098366
cd14_primary_cells	40	-0.411857	-0.475674	-0.625268	-0.671919	-0.524171	-0.478998	-0.442243	-0.54781	-0.591226	-0.682625	-0.572836	-0.684801	-0.490071	-0.442545	-0.688152	-0.504509	-0.220899	-0.189799	-0.209063	0.002286	-0.001389	0.009408	0.001385	0.005383	-0.007764	-0.145458	-0.112878	-0.108058
cd14_primary_cells	50	-0.449537	-0.644029	-0.636291	-0.656977	-0.479163	-0.618353	-0.642834	-0.586819	-0.61769	-0.632928	-0.510382	-0.685908	-0.674655	-0.569477	-0.657771	-0.577673	-0.348772	-0.341004	-0.291833	-0.015963	-0.01428	0.032956	-0.031437	-0.000604	-0.017418	-0.143355	-0.130597	-0.123266
cd14_primary_cells	60	-0.368757	-0.632196	-0.691835	-0.716657	-0.637431	-0.620106	-0.671975	-0.594722	-0.691327	-0.666641	-0.614173	-0.698652	-0.654135	-0.528492	-0.697867	-0.599674	-0.31673	-0.368724	-0.375785	-0.031739	-0.026137	0.024073	-0.040569	-0.021737	-0.025548	-0.15572	-0.144016	-0.131444
cd14_primary_cells	70	-0.412248	-0.541574	-0.668683	-0.707704	-0.585327	-0.605379	-0.699788	-0.666977	-0.704485	-0.667461	-0.651543	-0.661414	-0.688472	-0.67273	-0.708566	-0.648921	-0.406718	-0.440952	-0.465148	-0.0452	-0.044684	0.021434	-0.053447	-0.024976	-0.017071	-0.157971	-0.152323	-0.140207
cd14_primary_cells	80	-0.427938	-0.643732	-0.669701	-0.673359	-0.691556	-0.662556	-0.668714	-0.581491	-0.701957	-0.682967	-0.704957	-0.686188	-0.665202	-0.625027	-0.709177	-0.641446	-0.395419	-0.425513	-0.411478	-0.05038	-0.051981	0.002871	-0.049278	-0.047169	-0.063013	-0.174435	-0.153332	-0.152293
cd14_primary_cells	90	-0.413203	-0.667505	-0.630252	-0.706712	-0.64376	-0.667288	-0.711933	-0.562613	-0.699236	-0.716655	-0.687834	-0.691957	-0.662249	-0.634395	-0.708456	-0.660631	-0.434715	-0.467917	-0.471319	-0.045128	-0.058288	-0.004378	-0.049966	-0.022037	-0.049331	-0.164552	-0.172495	-0.155924
cd14_primary_cells	100	-0.430741	-0.656285	-0.713507	-0.694719	-0.728298	-0.659124	-0.682801	-0.673811	-0.717878	-0.725195	-0.676538	-0.691663	-0.669015	-0.667704	-0.693018	-0.643718	-0.457455	-0.479237	-0.463894	-0.074484	-0.072552	-0.006876	-0.064773	-0.062376	-0.059017	-0.191327	-0.171908	-0.161877

cd19	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd19	10	-0.30061	-0.264076	-0.293049	-0.229667	-0.308973	-0.245615	-0.188334	-0.216929	-0.280648	-0.249029	-0.187002	-0.258139	-0.331869	-0.337338	-0.227363	-0.224092	-0.108057	-0.068854	-0.066615	0.202924	0.254355	0.245084	0.180739	0.194359	0.204533	-0.039245	-0.035974	-0.019735
cd19	20	-0.411259	-0.332218	-0.494318	-0.297657	-0.477408	-0.447813	-0.327852	-0.280634	-0.336908	-0.355519	-0.39923	-0.305341	-0.322514	-0.333634	-0.374136	-0.328307	-0.150819	-0.153921	-0.238549	0.143068	0.151409	0.164002	0.194004	0.10946	0.117338	-0.114028	-0.094523	-0.069023
cd19	30	-0.496808	-0.45723	-0.420585	-0.477614	-0.446328	-0.466796	-0.365091	-0.367988	-0.508841	-0.47385	-0.383193	-0.660762	-0.311978	-0.566373	-0.444477	-0.449946	-0.211657	-0.171606	-0.221689	0.093097	0.107638	0.113761	0.105746	0.112547	0.098436	-0.137246	-0.106969	-0.082689
cd19	40	-0.459657	-0.46344	-0.668676	-0.711002	-0.58483	-0.516519	-0.512482	-0.413243	-0.507926	-0.548627	-0.677184	-0.580395	-0.579808	-0.528964	-0.558141	-0.455318	-0.233191	-0.270268	-0.188955	0.06671	0.095893	0.100627	0.073166	0.082092	0.088597	-0.146056	-0.138548	-0.102787
cd19	50	-0.457349	-0.633511	-0.637674	-0.525408	-0.586617	-0.452461	-0.628248	-0.623135	-0.619386	-0.616944	-0.669113	-0.599905	-0.547725	-0.567943	-0.478612	-0.540331	-0.40148	-0.49079	-0.360389	0.038034	0.099442	0.077804	0.025452	0.087	0.066896	-0.16484	-0.141657	-0.125587
cd19	60	-0.480341	-0.665635	-0.691962	-0.716375	-0.668674	-0.67094	-0.708613	-0.651217	-0.633591	-0.708962	-0.647512	-0.706786	-0.691428	-0.726481	-0.590416	-0.54708	-0.380863	-0.477097	-0.5104	0.043513	0.06963	0.058809	0.002309	0.04866	0.042361	-0.166146	-0.163135	-0.129494
cd19	70	-0.474292	-0.676973	-0.710335	-0.705168	-0.69943	-0.643832	-0.666843	-0.689721	-0.513719	-0.738239	-0.734211	-0.730251	-0.736924	-0.710201	-0.688215	-0.673928	-0.425949	-0.451431	-0.474814	0.040331	0.066181	0.051808	0.000111	0.049867	0.025897	-0.176462	-0.162397	-0.146551
cd19	80	-0.453333	-0.704016	-0.699471	-0.751275	-0.692276	-0.664519	-0.69228	-0.69067	-0.640652	-0.736191	-0.684656	-0.746585	-0.761318	-0.669887	-0.711588	-0.652294	-0.493497	-0.51674	-0.506886	0.036021	0.046877	0.050611	-0.030071	0.0356	0.01478	-0.19054	-0.164178	-0.168801
cd19	90	-0.452645	-0.739974	-0.758503	-0.755786	-0.681226	-0.707832	-0.66488	-0.737978	-0.682751	-0.727709	-0.735858	-0.7316	-0.657338	-0.724352	-0.715404	-0.664385	-0.464483	-0.565103	-0.545269	0.011005	0.048913	0.045635	-0.033716	0.042644	0.026216	-0.191013	-0.15384	-0.16283
cd19	100	-0.442902	-0.765127	-0.752353	-0.769165	-0.738652	-0.705309	-0.698682	-0.733862	-0.599168	-0.768534	-0.746304	-0.758762	-0.690736	-0.718992	-0.717337	-0.729605	-0.465349	-0.511971	-0.508914	0.028404	0.020383	0.020084	-0.048123	0.019967	0.003173	-0.190991	-0.189505	-0.179999

cd34_primary_cells	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd34_primary_cells	10	-0.358613	-0.270361	-0.219631	-0.244816	-0.27956	-0.173175	-0.311192	-0.236862	-0.236309	-0.163005	-0.178837	-0.20761	-0.301248	-0.147646	-0.184334	-0.193229	-0.03793	-0.053625	-0.06687	0.251642	0.293552	0.298664	0.215251	0.261028	0.258832	0.007401	0.00231	-0.006384
cd34_primary_cells	20	-0.383033	-0.351312	-0.296228	-0.335876	-0.47532	-0.395401	-0.282627	-0.446135	-0.443971	-0.37996	-0.284211	-0.372177	-0.389291	-0.354112	-0.361077	-0.446028	-0.112576	-0.157856	-0.163504	0.217308	0.220118	0.229865	0.212289	0.224114	0.218583	-0.078889	-0.070324	-0.05785
cd34_primary_cells	30	-0.512273	-0.417502	-0.645681	-0.511565	-0.501402	-0.372872	-0.447766	-0.446207	-0.56824	-0.35884	-0.519921	-0.523456	-0.46662	-0.363073	-0.451005	-0.421964	-0.156658	-0.156142	-0.271548	0.175499	0.179696	0.147435	0.128698	0.218811	0.173356	-0.126392	-0.095639	-0.110526
cd34_primary_cells	40	-0.493977	-0.533936	-0.367398	-0.650032	-0.522459	-0.413916	-0.460583	-0.66794	-0.578915	-0.534483	-0.57317	-0.510405	-0.624206	-0.46042	-0.50681	-0.671335	-0.296892	-0.178504	-0.171186	0.138728	0.11395	0.118293	0.042707	0.173091	0.119009	-0.152114	-0.135157	-0.122655
cd34_primary_cells	50	-0.481258	-0.525808	-0.630029	-0.478064	-0.719462	-0.428659	-0.688096	-0.703992	-0.66442	-0.662611	-0.563302	-0.637885	-0.51061	-0.443359	-0.743823	-0.489093	-0.36994	-0.468625	-0.324785	0.120438	0.095722	0.134045	0.029677	0.106425	0.123329	-0.158583	-0.136886	-0.123134
cd34_primary_cells	60	-0.477196	-0.446607	-0.689465	-0.627281	-0.757488	-0.72087	-0.697403	-0.762103	-0.737724	-0.701497	-0.562914	-0.670967	-0.579995	-0.707242	-0.735115	-0.740002	-0.414073	-0.437081	-0.467389	0.089348	0.077252	0.10764	0.056027	0.090918	0.065386	-0.178638	-0.171636	-0.15987
cd34_primary_cells	70	-0.462439	-0.640258	-0.718085	-0.73985	-0.733335	-0.66306	-0.62486	-0.751471	-0.728801	-0.734741	-0.767491	-0.700788	-0.697417	-0.651137	-0.791506	-0.73153	-0.37789	-0.434596	-0.507952	0.081204	0.098535	0.076348	0.01373	0.089066	0.054537	-0.196488	-0.17828	-0.17444
cd34_primary_cells	80	-0.489163	-0.712691	-0.770634	-0.696456	-0.762807	-0.731221	-0.623047	-0.753534	-0.780623	-0.669027	-0.795748	-0.707903	-0.734159	-0.74718	-0.753635	-0.759342	-0.49285	-0.530686	-0.505114	0.057972	0.071713	0.068764	0.027769	0.054401	0.065534	-0.212296	-0.190318	-0.174367
cd34_primary_cells	90	-0.473579	-0.693833	-0.788615	-0.76213	-0.753385	-0.735605	-0.69945	-0.775493	-0.737059	-0.718835	-0.73805	-0.752894	-0.720119	-0.727038	-0.805683	-0.764047	-0.539846	-0.493494	-0.558081	0.061415	0.05149	0.059008	0.015499	0.019045	0.04871	-0.227238	-0.198256	-0.182397
cd34_primary_cells	100	-0.492999	-0.700418	-0.773902	-0.75398	-0.788891	-0.772378	-0.713958	-0.79441	-0.694349	-0.76639	-0.817232	-0.708373	-0.752866	-0.732303	-0.79873	-0.785992	-0.549564	-0.565917	-0.555903	0.039201	0.070393	0.055462	-0.009902	0.043859	0.030286	-0.234838	-0.193042	-0.201024

cd3_primary_cells	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd3_primary_cells	10	-0.393805	-0.28002	-0.196248	-0.31207	-0.220573	-0.2747	-0.183914	-0.232481	-0.275698	-0.278994	-0.220213	-0.248856	-0.27811	-0.359865	-0.244822	-0.341699	-0.080992	-0.064866	-0.036482	0.203993	0.193254	0.21826	0.199447	0.1832	0.185193	-0.01828	-0.001714	-0.000345
cd3_primary_cells	20	-0.445973	-0.355536	-0.470592	-0.412774	-0.331733	-0.389449	-0.28554	-0.365652	-0.440302	-0.340795	-0.278516	-0.373912	-0.26641	-0.428258	-0.335886	-0.355672	-0.092596	-0.097664	-0.110184	0.08647	0.056447	0.08679	0.100338	0.089497	0.061079	-0.097656	-0.068948	-0.081979
cd3_primary_cells	30	-0.463706	-0.536878	-0.4035	-0.419378	-0.370257	-0.41945	-0.351828	-0.42149	-0.389721	-0.394365	-0.616513	-0.623142	-0.349101	-0.4372	-0.346816	-0.439808	-0.297589	-0.219417	-0.195938	0.053048	0.039649	0.09724	0.045708	0.07485	0.065887	-0.117773	-0.109828	-0.080783
cd3_primary_cells	40	-0.450132	-0.396191	-0.562674	-0.620724	-0.641252	-0.388542	-0.669284	-0.613129	-0.63311	-0.52731	-0.39548	-0.653776	-0.618265	-0.66849	-0.536552	-0.611916	-0.238391	-0.276296	-0.339002	0.00482	0.026046	0.065431	0.026018	0.044884	0.042296	-0.137773	-0.135694	-0.099092
cd3_primary_cells	50	-0.454794	-0.534586	-0.669654	-0.672419	-0.715963	-0.543194	-0.648109	-0.626718	-0.644159	-0.653393	-0.650595	-0.704268	-0.676698	-0.706183	-0.616416	-0.688044	-0.346353	-0.332426	-0.416751	-0.007937	0.030202	0.059031	-0.004105	0.07238	0.0548	-0.146191	-0.139288	-0.127444
cd3_primary_cells	60	-0.431198	-0.637365	-0.685448	-0.686754	-0.689984	-0.541421	-0.68688	-0.675473	-0.703598	-0.698373	-0.551582	-0.697506	-0.700353	-0.682619	-0.677769	-0.638198	-0.363966	-0.471164	-0.414283	0.000163	0.015242	0.04202	-0.016598	0.060048	0.046635	-0.14978	-0.160503	-0.139653
cd3_primary_cells	70	-0.415458	-0.679344	-0.577893	-0.674901	-0.721892	-0.650426	-0.682151	-0.713573	-0.715641	-0.639791	-0.704827	-0.643272	-0.735269	-0.711183	-0.737137	-0.679259	-0.385695	-0.446012	-0.443185	-0.011784	-0.028199	0.044863	-0.009531	0.048071	0.020317	-0.161968	-0.175116	-0.141257
cd3_primary_cells	80	-0.469	-0.713844	-0.678746	-0.684508	-0.732346	-0.657488	-0.68815	-0.717578	-0.681292	-0.675892	-0.696868	-0.743803	-0.715678	-0.709369	-0.72909	-0.631303	-0.425739	-0.430608	-0.466645	-0.024618	-0.036344	0.019679	-0.012597	0.009302	0.021382	-0.182473	-0.178797	-0.158313
cd3_primary_cells	90	-0.415669	-0.7145	-0.704676	-0.660969	-0.673854	-0.668034	-0.722201	-0.71839	-0.685259	-0.656809	-0.684625	-0.723414	-0.776592	-0.735422	-0.728021	-0.749252	-0.491455	-0.514972	-0.481268	-0.045769	-0.040055	0.00095	-0.038178	0.002233	0.020487	-0.191567	-0.176301	-0.17368
cd3_primary_cells	100	-0.474978	-0.679112	-0.677769	-0.713851	-0.728055	-0.643047	-0.731412	-0.744339	-0.702117	-0.689605	-0.708201	-0.736278	-0.73925	-0.758166	-0.753636	-0.685293	-0.495667	-0.520209	-0.534893	-0.063597	-0.031212	0.005859	-0.02638	0.004793	0.016413	-0.20146	-0.183846	-0.174949

cd4_primary_cells	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd4_primary_cells	10	-0.18878	-0.280016	-0.175941	-0.215894	-0.214574	-0.282957	-0.310543	-0.252885	-0.246379	-0.30695	-0.175227	-0.239399	-0.347509	-0.333966	-0.213514	-0.107159	-0.053987	-0.045974	-0.069428	0.106052	0.170296	0.202136	0.18578	0.160073	0.177274	-0.02272	-0.01115	-0.008889
cd4_primary_cells	20	-0.441977	-0.362509	-0.283419	-0.296105	-0.323959	-0.360474	-0.332533	-0.402918	-0.423668	-0.384893	-0.334202	-0.242698	-0.42986	-0.386444	-0.370857	-0.392776	-0.12193	-0.084467	-0.207084	0.061775	0.042318	0.098288	0.089252	0.119633	0.126479	-0.080788	-0.049308	-0.041008
cd4_primary_cells	30	-0.463117	-0.463341	-0.36405	-0.425223	-0.533439	-0.404769	-0.347103	-0.439351	-0.390508	-0.639977	-0.491721	-0.669356	-0.394687	-0.502715	-0.447904	-0.393115	-0.139942	-0.162259	-0.211385	-0.01301	0.060102	0.052376	0.03367	0.082941	0.048298	-0.136228	-0.097758	-0.069322
cd4_primary_cells	40	-0.406214	-0.548754	-0.463642	-0.624725	-0.505571	-0.526123	-0.586607	-0.640927	-0.50697	-0.465422	-0.607518	-0.609016	-0.605141	-0.648289	-0.635526	-0.469885	-0.245398	-0.349794	-0.361213	-0.023319	0.040067	0.085413	-0.034553	0.015036	0.040836	-0.160959	-0.099943	-0.078424
cd4_primary_cells	50	-0.416421	-0.66491	-0.518147	-0.662891	-0.681638	-0.52084	-0.677236	-0.714022	-0.677065	-0.680643	-0.627403	-0.674389	-0.679081	-0.664125	-0.649253	-0.506328	-0.413235	-0.376278	-0.312322	-0.050168	0.031946	0.038917	-0.036454	0.019599	0.002952	-0.143153	-0.113329	-0.104807
cd4_primary_cells	60	-0.483601	-0.717137	-0.688878	-0.679075	-0.673346	-0.650371	-0.710628	-0.688319	-0.617108	-0.716481	-0.659614	-0.682802	-0.700064	-0.712497	-0.642127	-0.564167	-0.369066	-0.409369	-0.319976	-0.029946	0.011697	0.032135	-0.030557	-0.004015	0.008021	-0.146157	-0.137486	-0.112806
cd4_primary_cells	70	-0.460868	-0.703618	-0.610133	-0.715641	-0.66888	-0.645181	-0.699938	-0.71457	-0.689968	-0.699489	-0.681822	-0.721351	-0.672024	-0.688577	-0.690437	-0.712506	-0.412229	-0.436539	-0.479644	-0.03626	0.006113	0.006478	-0.031824	0.002783	0.002691	-0.155949	-0.13994	-0.130005
cd4_primary_cells	80	-0.490241	-0.731205	-0.594737	-0.695995	-0.745035	-0.617033	-0.707274	-0.713344	-0.690208	-0.701736	-0.689805	-0.717205	-0.731036	-0.71109	-0.684508	-0.674004	-0.454671	-0.439516	-0.476277	-0.052136	-0.008296	0.026305	-0.035623	0.000376	-0.019546	-0.162336	-0.157328	-0.140027
cd4_primary_cells	90	-0.48748	-0.719927	-0.670003	-0.700656	-0.701832	-0.649975	-0.733699	-0.720535	-0.687479	-0.704545	-0.687213	-0.72362	-0.685424	-0.717525	-0.720739	-0.726004	-0.416645	-0.490093	-0.459223	-0.050752	-0.014664	0.006847	-0.058395	-0.027954	-0.024791	-0.159614	-0.170659	-0.140405
cd4_primary_cells	100	-0.454421	-0.738208	-0.699055	-0.713109	-0.714172	-0.688273	-0.773072	-0.73069	-0.761691	-0.727225	-0.737819	-0.728534	-0.7252	-0.73651	-0.738951	-0.704086	-0.488792	-0.445553	-0.50557	-0.054083	-0.029594	-0.013156	-0.056458	-0.044044	-0.025996	-0.167748	-0.175557	-0.162247

cd56_primary_cells	cluster_num	spectral_clustering	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd56_primary_cells	10	-0.400846	-0.238565	-0.204765	-0.275253	-0.195861	-0.360922	-0.293117	-0.219721	-0.254894	-0.209134	-0.343744	-0.306722	-0.227947	-0.227885	-0.196643	-0.188046	-0.038792	-0.088806	-0.068403	0.198951	0.141866	0.151902	0.156232	0.154271	0.141481	-0.046865	-0.034483	-0.020987
cd56_primary_cells	20	-0.401678	-0.398702	-0.378533	-0.356965	-0.358288	-0.368137	-0.364214	-0.397273	-0.380845	-0.27912	-0.425896	-0.420686	-0.360864	-0.358571	-0.297627	-0.344697	-0.096682	-0.131383	-0.276801	0.100063	0.109862	0.122838	0.138176	0.136458	0.102163	-0.093073	-0.08219	-0.057072
cd56_primary_cells	30	-0.473919	-0.461914	-0.44568	-0.365543	-0.371415	-0.448736	-0.418267	-0.403863	-0.417451	-0.422814	-0.436218	-0.45178	-0.420349	-0.54145	-0.664078	-0.493825	-0.180176	-0.275867	-0.135975	0.091027	0.087126	0.104203	0.06702	0.11488	0.110979	-0.136323	-0.110234	-0.092859
