breast_variant_human_mammary_epithelial_cells_vhmec	cluster_num	spectral_clustering	spectral_clustering_with_dsd	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd14_primary_cells	cluster_num	spectral_clustering	spectral_clustering_with_dsd	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd14_primary_cells	10	0.287976	0.067533	0.393021	0.39782	0.38404	0.334011	0.401396	0.381649	0.403464	0.36961	0.374416	0.400345	0.412313	0.409095	0.411032	0.405189	0.40852	0.36585	0.240254	0.351358	0.068909	0.128833	0.088956	0.067253	0.071165	0.054694	0.013037	-0.014726	0.003861
cd14_primary_cells	20	0.327456	0.085036	0.390438	0.397551	0.378031	0.371454	0.390147	0.39709	0.397306	0.388568	0.399915	0.40633	0.409072	0.418707	0.408826	0.415787	0.407745	0.396962	0.387789	0.398482	0.098885	0.132857	0.146516	0.10135	0.111148	0.132513	0.072603	0.054431	0.042393
cd14_primary_cells	30	0.349662	0.089703	0.39863	0.392649	0.38975	0.391845	0.395647	0.386403	0.406348	0.394572	0.395028	0.396732	0.392843	0.400326	0.409121	0.400167	0.392925	0.409392	0.381854	0.407882	0.119263	0.137659	0.148205	0.109281	0.124706	0.136535	0.084181	0.062614	0.080461
cd14_primary_cells	40	0.334423	0.105181	0.392381	0.381879	0.392424	0.375001	0.377268	0.383698	0.389566	0.387726	0.389461	0.399536	0.383998	0.385672	0.398477	0.401713	0.397555	0.409323	0.407564	0.402845	0.124131	0.134171	0.153261	0.128408	0.131425	0.142425	0.063725	0.060547	0.07638
cd14_primary_cells	50	0.341624	0.093984	0.384862	0.383553	0.387328	0.372441	0.382883	0.381534	0.383254	0.393222	0.384443	0.392914	0.400918	0.396636	0.381715	0.392353	0.381749	0.406402	0.406422	0.404874	0.117836	0.124552	0.145449	0.132697	0.134577	0.144796	0.07768	0.060482	0.076193
cd14_primary_cells	60	0.338128	0.105054	0.379666	0.380773	0.372913	0.370913	0.375208	0.379111	0.383378	0.381108	0.378856	0.37981	0.378847	0.388112	0.370941	0.38609	0.386669	0.414996	0.39805	0.410445	0.120505	0.137713	0.155699	0.131043	0.134057	0.140052	0.071927	0.066264	0.067232
cd14_primary_cells	70	0.324182	0.120321	0.376764	0.371726	0.367191	0.359726	0.369724	0.374951	0.373769	0.371939	0.372522	0.376349	0.380727	0.374718	0.38372	0.373357	0.374186	0.393111	0.409041	0.381867	0.11796	0.129745	0.144918	0.122469	0.134612	0.140564	0.056842	0.057141	0.077725
cd14_primary_cells	80	0.331028	0.119012	0.354702	0.368766	0.365335	0.355668	0.361505	0.36607	0.373434	0.359898	0.366445	0.372184	0.374293	0.374686	0.369562	0.371464	0.366827	0.400521	0.393632	0.392299	0.101889	0.134623	0.139308	0.121619	0.125666	0.139217	0.070971	0.059675	0.067024
cd14_primary_cells	90	0.322645	0.124882	0.364058	0.359752	0.355817	0.347499	0.347737	0.362522	0.356346	0.368847	0.363319	0.363712	0.365023	0.364543	0.365424	0.36148	0.365256	0.394023	0.392554	0.391213	0.120373	0.112283	0.140766	0.119887	0.109435	0.133778	0.057459	0.056358	0.063525
cd14_primary_cells	100	0.298897	0.085943	0.35428	0.360745	0.351734	0.347461	0.330698	0.352692	0.348871	0.365661	0.351842	0.363824	0.355238	0.359407	0.367587	0.353237	0.362855	0.385157	0.382426	0.387732	0.112636	0.131018	0.14994	0.119266	0.132788	0.133272	0.057903	0.065551	0.063645

cd19	cluster_num	spectral_clustering	spectral_clustering_with_dsd	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd19	10	0.294639	0.0404	0.368863	0.377906	0.381377	0.338207	0.384451	0.39838	0.389366	0.397942	0.380666	0.363925	0.41437	0.408023	0.383814	0.405446	0.406229	0.329247	0.330489	0.261059	0.06252	0.088667	0.090309	0.076227	0.072379	0.054883	0.038814	-0.003448	0.014175
cd19	20	0.338705	0.074391	0.398284	0.402202	0.39795	0.359398	0.40388	0.392821	0.401834	0.397866	0.396755	0.41013	0.403973	0.410387	0.414091	0.421204	0.389933	0.398678	0.372882	0.394319	0.113642	0.120268	0.133229	0.109524	0.102235	0.138076	0.078859	0.074315	0.050237
cd19	30	0.350755	0.099812	0.400179	0.393599	0.395202	0.362967	0.406707	0.40384	0.395887	0.412513	0.390426	0.410277	0.409899	0.405209	0.396963	0.384408	0.400556	0.412134	0.367247	0.387725	0.108411	0.14183	0.141381	0.119431	0.108629	0.144908	0.083512	0.069214	0.063798
cd19	40	0.376237	0.091415	0.392303	0.389965	0.386002	0.369603	0.401206	0.384212	0.39252	0.392718	0.395019	0.398709	0.403304	0.393379	0.407591	0.404272	0.402804	0.408085	0.401229	0.387929	0.120508	0.141394	0.139169	0.11382	0.12305	0.138031	0.087275	0.072865	0.082426
cd19	50	0.35179	0.101578	0.38628	0.387615	0.381951	0.363067	0.390079	0.39403	0.372979	0.382158	0.391892	0.386484	0.373297	0.381801	0.400403	0.38701	0.373067	0.411171	0.410417	0.394942	0.110492	0.141074	0.140905	0.112798	0.132296	0.150659	0.089807	0.087528	0.068769
cd19	60	0.34619	0.104249	0.374772	0.372349	0.380033	0.360434	0.383857	0.381059	0.380646	0.386938	0.369918	0.381964	0.384694	0.380648	0.399438	0.38517	0.372634	0.408968	0.403048	0.392273	0.115812	0.140831	0.129148	0.124541	0.115532	0.141466	0.091501	0.07693	0.063871
cd19	70	0.348604	0.092858	0.37204	0.379926	0.368268	0.354303	0.38098	0.369872	0.374909	0.380846	0.375335	0.362376	0.388765	0.373427	0.38071	0.389918	0.374048	0.40095	0.399252	0.413526	0.105654	0.139361	0.125502	0.118963	0.119407	0.146664	0.083874	0.083457	0.089655
cd19	80	0.33628	0.132887	0.364707	0.361941	0.368325	0.351078	0.375291	0.364547	0.359783	0.373872	0.371588	0.370308	0.366508	0.361727	0.36662	0.362055	0.371209	0.406568	0.383752	0.39707	0.102294	0.135048	0.131321	0.117857	0.118235	0.140174	0.088784	0.084814	0.083457
cd19	90	0.334363	0.122987	0.365861	0.363808	0.348583	0.343687	0.368966	0.362337	0.357345	0.359488	0.364318	0.363246	0.354504	0.365471	0.357206	0.36601	0.360807	0.388763	0.387501	0.389546	0.097054	0.138154	0.126437	0.096507	0.121	0.138695	0.081738	0.090434	0.078079
cd19	100	0.326749	0.122939	0.35013	0.360823	0.34313	0.337555	0.363537	0.352427	0.35028	0.34425	0.348634	0.356562	0.353453	0.351636	0.345632	0.354345	0.355033	0.404077	0.379837	0.390035	0.100288	0.132583	0.121963	0.118303	0.120989	0.141764	0.087643	0.098153	0.080655

cd34_primary_cells	cluster_num	spectral_clustering	spectral_clustering_with_dsd	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd34_primary_cells	10	0.072073	0.01379	0.228613	0.212762	0.21135	0.222774	0.214467	0.214377	0.221243	0.233634	0.216031	0.22052	0.223928	0.205692	0.210272	0.225345	0.228906	0.223134	0.219114	0.22759	-0.180529	-0.167605	-0.109596	-0.194112	-0.17545	-0.102763	-0.192393	-0.148316	-0.194837
cd34_primary_cells	20	0.201846	0.015762	0.214592	0.222605	0.197076	0.222266	0.210184	0.214919	0.223057	0.218547	0.216523	0.218127	0.219658	0.221022	0.222654	0.212893	0.217187	0.225658	0.237262	0.213538	-0.076574	-0.105424	-0.075713	-0.081718	-0.063897	-0.061002	-0.056034	-0.067744	-0.089776
cd34_primary_cells	30	0.177358	0.008152	0.207876	0.214877	0.201057	0.214663	0.200736	0.21895	0.204717	0.220151	0.211076	0.221054	0.215687	0.193795	0.211723	0.205703	0.210677	0.237892	0.216203	0.226128	-0.062596	-0.071781	-0.053255	-0.064329	-0.056004	-0.024132	-0.043649	-0.045881	-0.107972
cd34_primary_cells	40	0.177918	0.018832	0.203466	0.207792	0.172238	0.197581	0.196588	0.205046	0.197618	0.217065	0.20098	0.202292	0.196931	0.209784	0.212754	0.194961	0.197987	0.227389	0.219679	0.223065	-0.039143	-0.045932	-0.03547	-0.04209	-0.027068	-0.021171	-0.037334	-0.049184	-0.061087
cd34_primary_cells	50	0.172918	0.021968	0.187679	0.174039	0.003443	0.195224	0.050589	0.189392	0.185999	0.201748	0.189916	0.192979	0.186209	0.17963200000000001	0.184789	0.191526	0.195914	0.222794	0.229964	0.19233	-0.031624	-0.040606	-0.020934	-0.044619	-0.020968	-0.013411	-0.033087	-0.034548	-0.054559
cd34_primary_cells	60	0.170514	0.019715	0.181112	0.161397	0.026578	0.172768	0.058756	0.180108	0.169276	0.177369	0.180669	0.188426	0.18839	0.187718	0.185518	0.190975	0.163436	0.200406	0.205538	0.199117	-0.024061	-0.04224	-0.018294	-0.048413	-0.016565	-0.004734	-0.015217	-0.03205	-0.040033
cd34_primary_cells	70	0.157245	0.01417	0.160609	0.158657	0.020694	0.161645	0.078259	0.174254	0.158087	0.170088	0.187111	0.176459	0.179096	0.168111	0.19176	0.177066	0.160128	0.192528	0.219461	0.211044	-0.018615	-0.035092	-0.016142	-0.025872	-0.019814	-0.003915	-0.027547	-0.024235	-0.042806
cd34_primary_cells	80	0.153459	-0.044253	0.147223	0.138819	0.023029	0.161165	0.035044	0.163851	0.155958	0.156547	0.172323	0.173027	0.180922	0.180146	0.173526	0.177003	0.169382	0.179088	0.190115	0.191117	-0.022567	-0.034913	-0.013241	-0.02125	-0.019556	-0.004966	-0.009772	-0.021442	-0.027767
cd34_primary_cells	90	0.155136	0.02344	0.152217	0.066225	0.018224	0.161489	0.040257	0.150668	0.157382	0.166021	0.157013	0.157983	0.150441	0.159111	0.15375	0.144448	0.163697	0.177408	0.175144	0.191328	-0.018349	-0.020633	-0.012009	-0.01778	-0.014913	-0.004557	-0.014979	-0.019456	-0.026017
cd34_primary_cells	100	0.152019	-0.034785	0.150107	0.06742	0.01366	0.141481	0.046615	0.147715	0.141662	0.154963	0.148948	0.155383	0.153469	0.141663	0.146203	0.166407	0.14456	0.159748	0.185067	0.186373	-0.01923	-0.024816	-0.011678	-0.012196	-0.006566	-0.000463	-0.017321	-0.015584	-0.014838

cd3_primary_cells	cluster_num	spectral_clustering	spectral_clustering_with_dsd	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd3_primary_cells	10	0.222557	0.055264	0.205813	0.235862	0.307364	0.282914	0.330923	0.315811	0.299787	0.346718	0.331287	0.327383	0.336738	0.34696	0.342882	0.330014	0.344476	0.317651	0.294285	0.281011	0.001054	-0.011582	-0.000424	-0.023683	-0.007581	-0.010275	-0.049336	-0.036413	-0.058036
cd3_primary_cells	20	0.306134	0.036428	0.300151	0.302573	0.328106	0.329669	0.349171	0.339531	0.331427	0.341085	0.339914	0.347426	0.35385	0.345715	0.35136	0.341532	0.362643	0.338283	0.316554	0.307652	0.073194	0.029871	0.070176	0.027155	0.043811	0.040522	0.02573	0.008786	-0.013519
cd3_primary_cells	30	0.299745	0.059407	0.329103	0.330365	0.334221	0.328889	0.3403	0.343222	0.342121	0.342916	0.348638	0.333347	0.356143	0.317579	0.330017	0.331309	0.345299	0.339659	0.330514	0.340727	0.060614	0.043163	0.058267	0.041576	0.058014	0.037654	0.031822	0.013452	0.025463
cd3_primary_cells	40	0.282736	0.065919	0.328581	0.314137	0.331611	0.325925	0.341641	0.33246	0.321489	0.331051	0.333599	0.328504	0.339517	0.336532	0.335092	0.347163	0.345095	0.358314	0.340333	0.326605	0.058687	0.053786	0.058739	0.056837	0.04802	0.052401	0.040997	0.032825	0.033529
cd3_primary_cells	50	0.282305	0.063003	0.314498	0.322153	0.314287	0.310779	0.337453	0.321885	0.323531	0.337875	0.321025	0.321473	0.339409	0.32133	0.327688	0.320855	0.325438	0.35002	0.344915	0.346122	0.043671	0.049052	0.058911	0.050036	0.049203	0.060622	0.05244	0.032134	0.022215
cd3_primary_cells	60	0.275898	0.064903	0.305869	0.316261	0.318138	0.314445	0.321552	0.310112	0.317588	0.323289	0.319283	0.324146	0.328672	0.305045	0.326384	0.327309	0.320627	0.356958	0.347456	0.349328	0.053878	0.031457	0.050968	0.050024	0.057366	0.065147	0.043581	0.021926	0.019276
cd3_primary_cells	70	0.274532	0.071802	0.291202	0.310584	0.291614	0.301115	0.316322	0.295901	0.297739	0.301918	0.30653	0.317731	0.320562	0.308549	0.313168	0.313592	0.299263	0.33774	0.350541	0.344051	0.051929	0.046778	0.042932	0.053714	0.050928	0.070865	0.049667	0.019069	0.017178
cd3_primary_cells	80	0.267913	0.075113	0.294955	0.302978	0.306464	0.298746	0.301931	0.297206	0.297202	0.294463	0.304595	0.304572	0.30364	0.298098	0.310709	0.320645	0.288501	0.338864	0.333916	0.334128	0.053927	0.048909	0.045254	0.05932	0.045911	0.057365	0.054905	0.027903	0.025645
cd3_primary_cells	90	0.288177	0.071797	0.275814	0.304335	0.296991	0.291695	0.289692	0.281885	0.297156	0.288394	0.294991	0.293879	0.29518	0.31177	0.301246	0.287653	0.312132	0.334186	0.331992	0.327171	0.054106	0.04849	0.043702	0.055424	0.050789	0.067768	0.046624	0.032306	0.025216
cd3_primary_cells	100	0.273612	0.023254	0.270952	0.275487	0.294018	0.291357	0.280171	0.284063	0.281631	0.28812	0.29696	0.277223	0.282108	0.285442	0.287046	0.295758	0.293031	0.331619	0.327779	0.324266	0.047106	0.038804	0.04856	0.060822	0.056908	0.051043	0.044855	0.019072	0.020128

cd4_primary_cells	cluster_num	spectral_clustering	spectral_clustering_with_dsd	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd4_primary_cells	10	0.211919	0.040695	0.302129	0.314727	0.313052	0.326861	0.307234	0.330517	0.351888	0.319904	0.326668	0.328599	0.330546	0.338562	0.347817	0.332748	0.32303	0.297984	0.243986	0.249218	0.000654	-0.014415	0.022445	-0.013484	-0.022378	0.008245	-0.071744	-0.07537	-0.053891
cd4_primary_cells	20	0.284272	0.043562	0.333859	0.342924	0.349189	0.336642	0.339379	0.334372	0.315836	0.348912	0.336517	0.336673	0.336268	0.340688	0.343255	0.346832	0.343729	0.34328	0.336262	0.31849	0.04228	0.015952	0.063281	0.030115	0.013578	0.023206	0.003116	-0.052584	-0.051704
cd4_primary_cells	30	0.274996	0.052384	0.329127	0.327292	0.339967	0.335701	0.324403	0.328085	0.325291	0.338667	0.333347	0.33733	0.331208	0.339983	0.343937	0.340237	0.328748	0.345662	0.331447	0.335344	0.051827	0.020199	0.064146	0.035705	0.049942	0.024517	0.027476	0.024744	0.00336
cd4_primary_cells	40	0.285	0.060451	0.322583	0.31872	0.321135	0.316369	0.327629	0.324864	0.305213	0.330358	0.335241	0.333565	0.319614	0.314166	0.322933	0.330298	0.323265	0.348541	0.332159	0.319903	0.056347	0.014604	0.06083	0.039274	0.061857	0.061272	0.034233	0.011027	0.01502
cd4_primary_cells	50	0.281878	0.057195	0.305769	0.30869	0.320941	0.307172	0.318774	0.306428	0.317579	0.307563	0.315754	0.310133	0.320278	0.305925	0.332766	0.310825	0.286686	0.342441	0.340871	0.337091	0.061166	0.012692	0.06485	0.03972	0.054422	0.059214	0.032908	0.038263	0.03973
cd4_primary_cells	60	0.274587	0.058768	0.302368	0.308652	0.305262	0.305751	0.305845	0.303178	0.293567	0.317824	0.305872	0.304042	0.304334	0.302615	0.304084	0.283401	0.302473	0.330381	0.343924	0.315817	0.057385	0.023533	0.065806	0.053146	0.05275	0.063491	0.033871	0.049043	0.008673
cd4_primary_cells	70	0.275605	0.065315	0.291251	0.294894	0.304272	0.302715	0.297699	0.291607	0.297015	0.305744	0.290943	0.298413	0.301895	0.299106	0.302756	0.301206	0.284496	0.340986	0.336764	0.337079	0.06641	0.022498	0.051257	0.050766	0.053748	0.063641	0.039211	0.032872	0.022685
cd4_primary_cells	80	0.272348	0.063174	0.29157	0.288142	0.275812	0.291095	0.291667	0.294363	0.279112	0.2892	0.285188	0.284081	0.295436	0.299242	0.280586	0.289993	0.287363	0.339451	0.34163	0.320994	0.054652	0.017524	0.057313	0.052932	0.054765	0.064093	0.042769	0.043272	0.024566
cd4_primary_cells	90	0.266923	0.05654	0.276445	0.290325	0.26923	0.274128	0.277714	0.290921	0.270742	0.287467	0.275757	0.288606	0.268124	0.286183	0.287062	0.28462	0.291944	0.318038	0.309883	0.330427	0.049342	0.020498	0.065302	0.042065	0.046858	0.063074	0.042157	0.043901	0.033078
cd4_primary_cells	100	0.257175	0.086552	0.273811	0.264502	0.269036	0.272098	0.274312	0.275911	0.273561	0.272807	0.274255	0.279334	0.294257	0.267169	0.268933	0.278038	0.279083	0.303341	0.330068	0.326172	0.055664	0.02249	0.06571	0.048387	0.050579	0.0507	0.044042	0.035379	0.013144

cd56_primary_cells	cluster_num	spectral_clustering	spectral_clustering_with_dsd	node2vec_64d_p1_q1	node2vec_64d_p1_q0.5	node2vec_64d_p1_q2	node2vec_64d_p0.5_q1	node2vec_64d_p2_q1	node2vec_128d_p1_q1	node2vec_128d_p1_q0.5	node2vec_128d_p1_q2	node2vec_128d_p0.5_q1	node2vec_128d_p2_q1	node2vec_256d_p1_q1	node2vec_256d_p1_q0.5	node2vec_256d_p1_q2	node2vec_256d_p0.5_q1	node2vec_256d_p2_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
cd56_primary_cells	10	0.332192	0.077234	0.355537	0.359638	0.397803	0.396674	0.38369	0.390801	0.403621	0.409673	0.406961	0.395124	0.403563	0.439955	0.431995	0.406613	0.41295	0.346484	0.35674	0.360372	0.090447	0.140555	0.128508	0.089554	0.115524	0.113294	0.072944	0.048231	0.041027
cd56_primary_cells	20	0.365343	0.095397	0.366361	0.387532	0.407825	0.42026	0.428571	0.419715	0.420584	0.427252	0.416676	0.433553	0.436273	0.427361	0.443294	0.43686	0.41883	0.391354	0.388294	0.388088	0.130889	0.178119	0.169008	0.126166	0.146219	0.148014	0.076676	0.045334	0.090749
cd56_primary_cells	30	0.392006	0.097715	0.381736	0.393788	0.41022	0.435552	0.426141	0.423728	0.430337	0.415893	0.427742	0.428671	0.43671	0.433516	0.437204	0.425439	0.44663	0.425451	0.373457	0.412761	0.138015	0.165682	0.184465	0.134397	0.164785	0.158947	0.110338	0.077632	0.093738
cd56_primary_cells	40	0.415372	0.114601	0.389907	0.412833	0.406127	0.418746	0.428784	0.42446	0.420824	0.407077	0.430667	0.427116	0.434128	0.433939	0.431296	0.422909	0.436151	0.402791	0.422958	0.419113	0.146681	0.183485	0.179894	0.140597	0.175135	0.171802	0.107759	0.091258	0.072119
cd56_primary_cells	50	0.385886	0.120743	0.397395	0.400113	0.397743	0.412921	0.405812	0.407052	0.414405	0.407582	0.413844	0.424162	0.415375	0.430735	0.422335	0.424184	0.411599	0.427825	0.439535	0.407164	0.133941	0.17267	0.181341	0.128558	0.172041	0.182525	0.111879	0.108673	0.105096
cd56_primary_cells	60	0.376628	0.137931	0.387597	0.40046	0.415294	0.402956	0.405245	0.414318	0.408353	0.415628	0.407645	0.414379	0.423739	0.424789	0.415431	0.405776	0.418881	0.428701	0.427008	0.41543	0.143218	0.169496	0.169768	0.142182	0.165926	0.186849	0.120677	0.103642	0.11768
cd56_primary_cells	70	0.376442	0.147629	0.38366	0.395115	0.390674	0.397787	0.398722	0.408588	0.404453	0.404672	0.393495	0.398964	0.391004	0.395323	0.414888	0.420252	0.412882	0.438954	0.41794	0.416545	0.137991	0.166399	0.168578	0.136925	0.172398	0.183474	0.112668	0.096852	0.108379
cd56_primary_cells	80	0.351575	0.120678	0.370923	0.388311	0.395538	0.394103	0.383612	0.399596	0.395252	0.380348	0.406241	0.392327	0.407736	0.385613	0.399373	0.406152	0.401912	0.422185	0.434731	0.419568	0.124773	0.166163	0.166888	0.113193	0.165173	0.181021	0.113606	0.086083	0.105436
cd56_primary_cells	90	0.357464	0.157605	0.375599	0.3866	0.385468	0.392834	0.392919	0.373879	0.3968	0.370269	0.395176	0.389611	0.38633	0.397704	0.39869	0.391094	0.395159	0.420846	0.431583	0.430742	0.123362	0.158793	0.168445	0.125907	0.167987	0.170893	0.104238	0.099739	0.097815
